job_id,job_title,job_category,years_of_experience,education_required,annual_salary_usd,city,country,company_size,industry,ai_salary_premium_pct,salary level,salary_tier,,,,,
AIJOB0001,Ai Agent Developer,Ai Engineering,7,master's,239000,BOSTON,USA,startup(1-50),Finance,13,senior,$200-300k,,,,,
AIJOB0002,Prompt Engineer,Ai Engineering,2,bachelor's,166000,LONDON,UK,enterprise(5-5000),Finance,5,upper-mid,$150-200k,,,,,
AIJOB0003,Llm Engineer,Ai Engineering,4,associate's,360000,SEATTLE,USA,big tech(9),Finance,9,elite,$300k,,,,,
AIJOB0004,Data Engineer (Ai,Data Engineering,3,bachelor's,161000,SINGAPORE,SINGAPORE,sme(1-500),Technology,12,upper-mid,$150-200k,,,,,
AIJOB0005,Ai Product Manager,Product,5,bootcamp/self-taught,283000,LOS ANGELES,USA,enterprise(9-5000),Automotive,9,senior,$200-300k,,,,,
AIJOB0006,Ai Agent Developer,Ai Engineering,5,bootcamp/self-taught,155000,CHICAGO,USA,enterprise(8-5000),Government,8,upper-mid,$150-200k,,,,,
AIJOB0007,Ai Security Engineer,Security,5,master's,197000,BOSTON,USA,mid-size(1-5000),Manufacturing,16,upper-mid,$150-200k,,,,,
AIJOB0008,Senior Ml Engineer,Ai Engineering,7,master's,221000,REMOTE,GLOBAL,startup(1-50),Education,13,senior,$200-300k,,,,,
AIJOB0009,Nlp Engineer,Ai Engineering,3,bachelor's,145000,BANGALORE,INDIA,sme(8-500),Automotive,8,mid,$100-150k,,,,, 
AIJOB0010,Prompt Engineer,Ai Engineering,4,bootcamp/self-taught,90000,LOS ANGELES,USA,startup(6-50),Automotive,6,entry,$100k,,,,,
AIJOB0011,Ai Solutions Architect,Architecture,7,associate's,180000,TOKYO,JAPAN,startup(8-50),Technology,8,upper-mid,$150-200k,,,,,
AIJOB0012,Prompt Engineer,Ai Engineering,1,master's,118000,TOKYO,JAPAN,enterprise(9-5000),Education,9,mid,$100-150k,,,,,
AIJOB0013,Senior Ml Engineer,Ai Engineering,8,bootcamp/self-taught,180000,BEIJING,CHINA,startup(1-50),Retail,15,upper-mid,$150-200k,,,,,
AIJOB0014,Ai Solutions Architect,Architecture,15,bootcamp/self-taught,180000,TORONTO,CANADA,startup(1-50),Finance,12,upper-mid,$150-200k,,,,,
AIJOB0015,Ai Agent Developer,Ai Engineering,3,bachelor's,209000,DUBAI,UAE,startup(1-50),Consulting,11,senior,$200-300k,,,,,
AIJOB0016,Ai Agent Developer,Ai Engineering,3,bachelor's,155000,AMSTERDAM,NETHERLANDS,mid-size(1-5000),Research,14,upper-mid,$150-200k,,,,,
AIJOB0017,Ml Engineer,Ai Engineering,6,phd,120000,PARIS,FRANCE,mid-size(8-5000),Healthcare,8,mid,$100-150k,,,,,
AIJOB0018,Generative Ai Engineer,Ai Engineering,2,bachelor's,162000,LONDON,UK,mid-size(1-5000),Consulting,11,upper-mid,$150-200k,,,,,
AIJOB0019,Ai Security Engineer,Security,7,bachelor's,228000,SYDNEY,AUSTRALIA,big tech(1),Government,16,senior,$200-300k,,,,,
AIJOB0020,Deep Learning Engineer,Ai Engineering,6,bachelor's,185000,BERLIN,GERMANY,startup(6-50),Consulting,6,upper-mid,$150-200k,,,,,
AIJOB0021,Multimodal Ai Engineer,Ai Engineering,3,bootcamp/self-taught,329000,CHICAGO,USA,big tech(1),Consulting,13,elite,$300k,,,,,
AIJOB0022,Mlops Engineer,Ml Operations,9,bachelor's,272000,DUBAI,UAE,big tech(1),Technology,13,senior,$200-300k,,,,,
AIJOB0023,Ai Business Analyst,Business,7,bootcamp/self-taught,201000,LOS ANGELES,USA,enterprise(1-5000),Media,17,senior,$200-300k,,,,,
AIJOB0024,Rag Engineer,Ai Engineering,3,associate's,230000,TORONTO,CANADA,enterprise(5-5000),Finance,5,senior,$200-300k,,,,,
